,,Lao People's Democratic Republic,,, 553 ,,,,, 502 ,,,,, 467 ,0.00,,9.62,,,,,8.03,,,,,6.87
,,Malaysia, 565 , 497 , 604 , 588 , 652 , 597 , 561 , 540 ,,,,,,2.27,1.96,2.34,2.24,2.44,2.20,2.03,1.92,,,,,
,,Myanmar, 840 , 817 , 743 , 855 , 823 , 870 , 879 , 801 ," 1,055 "," 1,436 "," 1,250 "," 1,348 "," 1,304 ",1.71,1.65,1.49,1.70,1.62,1.70,1.71,1.55,2.02,2.73,2.36,2.52,2.42
,,Singapore, 24 , 21 , 21 , 17 , 18 , 27 , 20 , 19 , 16 , 11 , 17 , 14 , 14 ,0.56,0.48,0.47,0.37,0.38,0.56,0.40,0.37,0.31,0.21,0.31,0.25,0.25
,,Thailand," 6,434 "," 4,273 "," 4,806 "," 4,687 "," 4,435 "," 3,974 "," 3,703 "," 3,654 "," 3,307 "," 3,323 "," 2,894 "," 2,649 "," 2,387 ",9.93,6.53,7.30,7.08,6.68,5.98,5.56,5.48,4.94,4.95,4.29,3.91,3.51
,,Timor-Leste,, 23 , 46 , 49 , 62 , 35 , 32 , 39 ,,,,,,0.00,2.39,4.65,4.86,6.07,3.40,3.07,3.69,,,,,
,,Viet Nam," 1,059 "," 1,063 "," 1,053 "," 1,048 "," 1,168 "," 1,092 "," 1,233 "," 1,336 "," 1,358 ",,,,,1.28,1.27,1.25,1.23,1.36,1.26,1.41,1.51,1.52,,,,
,,Philippines*," 6,436 "," 6,344 "," 6,434 "," 6,196 "," 5,739 "," 5,820 "," 6,368 "," 8,897 "," 8,674 "," 8,484 "," 9,153 "," 9,756 ",,7.76,7.50,7.47,7.07,6.45,6.45,6.95,9.56,9.18,8.84,9.38,9.84,
,Southern Asia,Afghanistan,,,,,,," 1,115 ", 983 ," 1,231 "," 1,948 ",,,,0.00,,,,,,4.10,3.52,4.27,6.55,,,
,,Bangladesh," 3,471 "," 3,902 "," 3,592 "," 4,166 "," 3,863 "," 4,099 "," 4,219 "," 3,988 "," 3,966 "," 4,114 "," 4,393 "," 4,514 "," 4,035 ",2.50,2.77,2.51,2.88,2.64,2.76,2.81,2.63,2.59,2.65,2.80,2.84,2.51
,,Bhutan,,,,,, 14 , 10 , 14 , 22 , 29 , 19 , 21 ,,0.00,,,,,2.01,1.41,1.94,3.00,3.90,2.52,2.75,
,,India," 40,029 "," 41,941 "," 41,206 "," 41,426 "," 41,521 "," 41,899 "," 41,542 "," 42,299 "," 43,741 "," 43,355 "," 41,984 "," 41,623 ",,3.61,3.72,3.60,3.56,3.52,3.50,3.42,3.44,3.51,3.43,3.28,3.21,
,,Iran (Islamic Republic of),,," 3,807 ",,,,," 3,873 ",,,,," 3,259 ",0.00,,5.43,,,,,5.22,,,,,4.12
,,Maldives,,,,, 3 , 5 , 6 , 6 , 3 , 10 , 3 ,,,0.00,,,,0.95,1.56,1.84,1.80,0.89,2.90,0.85,,
