Norway,"10,475","8,613","8,136","7,268","6,777","8,125","9,035","7,284","5,790","5,987","5,458","5,035",,229.67,187.68,175.94,155.73,143.68,170.28,187.05,148.92,116.88,119.3,107.37,97.81,
Sweden,"48,607","46,513","43,073","37,125","37,505","37,870","39,700","40,562","42,847","39,552","40,654","42,337","42,493",543.52,517.83,476.99,408.54,409.74,410.46,426.72,432.32,452.82,414.44,422.41,436.32,434.51
United Kingdom (England and Wales),"402,345","321,507","300,517","292,260","280,696","284,431","268,606","258,165","245,312","227,276","211,988","196,988","193,773",761.11,604.88,560.92,541.71,516.1,518.64,486.29,463.56,436.72,401.78,372.25,343.13,
United Kingdom (Northern Ireland),"9,214","7,764","7,203","6,855","6,777","7,041","7,524","7,116","6,957","5,868","5,804","5,713","6,101",540.43,452.96,416.9,393.26,384.69,395.75,419.55,394.27,383.45,321.78,317.21,310.41,
United Kingdom (Scotland),,"23,613","21,232","20,429","17,465","17,223","16,727","17,657","17,375","15,656","16,334","15,166",,,464.43,415.48,397.99,337.81,331.03,319.71,335.54,327.84,294.64,306.59,283.6,
Latvia*,"5,332","5,319","3,464","2,164","1,784","1,717","1,809",800,,731,703,432,255,233.15,235.67,155.51,98.4,82.16,80.08,85.44,38.27,,35.88,34.94,21.72,12.94
Albania,,,675,615,759,697,757,957,979,"1,238","1,277","1,657","1,387",,,21.9,20.16,25.21,23.48,25.84,32.98,33.92,42.98,44.29,57.34,47.88
Andorra,,,,,,,,,,,, -   ,,,,,,,,,,,,,0,
Bosnia and Herzegovina,,,,,,,"3,673",,,,,,"1,181",,,,,,,95.71,,,,,,30.99
Croatia,"3,265","2,832","2,547","2,981","3,094","2,714","2,777","4,108","4,616","5,664","5,996","4,944","4,909",74.37,64.58,58.18,68.24,71.01,62.47,64.13,95.17,107.3,132.12,140.37,116.17,115.77
Greece,"10,126",,"10,926","11,559","13,797","17,953","18,849","24,603","27,591","28,193","25,597","22,881","24,022",91.81,,98.7,104.15,123.95,160.84,168.6,220.11,247.39,253.77,231.54,207.99,219.29
Holy See,,,,,,, -   , -   , -   , -   , -   , -   , -   ,,,,,,,0,0,0,0,0,0,0
Italy,,,"120,587","141,601","166,838","150,761","150,843","169,163","204,891","237,355","251,422","255,886","234,726",,,205.58,240.33,282.11,254.15,253.66,283.89,343.32,397.33,420.64,427.98,392.53
Kosovo under UNSCR 1244,,,,,,"2,376","2,305","2,977","3,329","3,256","6,566","5,348","4,207",,,,,,131.63,127,163.03,181.22,176.19,353.2,285.84,
Malta,,775,"1,102",840,735,788,812,890,952,"1,004",777,932,712,,196.31,277.52,210.06,182.35,193.9,198.3,215.99,229.91,241.58,186.44,223.11,170.06
Portugal,"21,963","22,587","21,847","23,335","22,343","29,663","26,045","26,653","28,307","25,151","22,206","19,312","16,186",211.13,216.3,208.46,221.89,211.77,280.44,245.93,251.8,268.09,239.19,212.3,185.65,156.39
Serbia,,,"7,056","6,359","5,692","6,009","6,121","5,946","6,925","6,738","7,789","6,589","5,512",,,76.81,69.46,62.34,65.96,67.36,65.64,76.74,75.01,87.15,74.09,62.28
Slovenia,"2,368","2,763","2,313","2,236","2,295","2,036","2,231","2,563","2,486","2,717","3,815","3,670","3,117",119.1,138.78,115.85,111.49,113.76,100.27,109.21,124.87,120.74,131.71,184.76,177.63,150.76
Spain,,,,,"82,344","93,920","97,852","110,231","100,780","126,425","127,444","121,779","90,747",,,,,182.14,204.99,211.37,236.54,215.76,271.08,274.34,263.25,196.76
The former Yugoslav Rep. of Macedonia,,,,"1,367","1,590","1,346","1,612","1,610","2,160","1,987","2,639","2,881",,,,,66.77,77.51,65.49,78.29,78.06,104.56,96.02,127.33,138.8,
Belgium,"64,053","57,544","56,974","63,493","62,964","64,061","69,456","63,598","70,037","75,640","75,481","72,675","66,374",614.35,548.42,539.45,597.19,588.18,594.3,639.89,581.87,636.4,682.7,676.77,647.36,587.42
Germany,"123,280","124,155","109,736","106,107","109,128","108,284","113,800","121,347","132,595","144,117","149,500","152,123","167,136",151.13,152.49,135.07,130.91,134.97,134.24,141.33,150.86,164.87,179.08,185.56,188.63,207.14
Liechtenstein,54,81,62,97,102,105,193,,90,51,92,116,102,157.48,234.31,177.9,276.03,287.88,293.94,536.05,,246.33,138.62,248.38,311.11,271.78
Luxembourg,,,,"1,255","1,618","1,492","1,639","1,352","2,154","1,862","2,228","3,315",,,,,269.58,340.84,307.58,330.27,266.2,414.25,349.69,408.89,595.61,
France*,"216,797","202,880","181,503","177,840","165,780","166,250","179,408","189,947","220,049","238,088","250,432","235,619","233,541",358.55,333.36,296.37,288.65,267.53,266.81,286.41,301.69,347.8,374.58,392.25,367.46,362.67
Netherlands*,,,"96,015","95,165","89,415","91,245","94,580","102,545","108,400","112,005","110,820","93,125","85,885",,,587.91,580.24,543.13,552.34,570.61,616.57,649.5,668.71,659.28,552.08,507.45
Switzerland*,,,,,,,"26,101","25,074","28,485","35,801","33,332","30,773","25,396",,,,,,,337.34,320.21,359.4,446.25,410.56,374.76,306.03
Austria*,,"17,461","19,753","17,493","18,468","17,180","19,718","15,681","15,608","15,442","16,548","17,110","15,516",,213.03,239.87,211.54,222.47,206.21,235.82,186.86,185.29,182.63,194.98,200.89,181.59
New Zealand,,,"37,946","39,847","39,214","40,888","43,024","42,424","43,338","39,532","39,831",,,,,917.75,951.55,925.29,954.13,993.83,971.02,983.95,891.19,892.02,,
Australia*,"232,246","203,876","186,564","171,969","164,307","160,983","151,262","121,566","124,067","128,187","117,380","109,027","108,634","1,176.81","1,020.12",920.2,834.55,783.31,753.3,694.8,548.51,550.37,559.49,504.42,461.54,453.23
